Peptide,Protein,Replicate,Precursor Mz,Precursor Charge,Product Mz,Product Charge,Fragment Ion,Retention Time,Area,Background,Peak Rank
SM 18:1/16:0 ID264,SM,S5B,703.5,1,264.4,1,Ion [264.400549/264.400549],5.55,3777,1512,1
SM 18:1/16:0 ID264,SM,S6B,703.5,1,264.4,1,Ion [264.400549/264.400549],5.54,2766,1124,1
SM 18:1/16:0 ID264,SM,S7B,703.5,1,264.4,1,Ion [264.400549/264.400549],5.57,2188,839,1
SM 18:1/16:0 ID264,SM,S8B,703.5,1,264.4,1,Ion [264.400549/264.400549],5.58,2982,1153,1
SM 18:1/16:0 ID264,SM,S9B,703.5,1,264.4,1,Ion [264.400549/264.400549],5.52,3117,1023,1
SM 18:1/16:0 ID264,SM,S10B,703.5,1,264.4,1,Ion [264.400549/264.400549],5.54,3386,1080,1
SM 18:1/16:0 ID264,SM,S11B,703.5,1,264.4,1,Ion [264.400549/264.400549],5.55,3074,1128,1
SM 18:1/16:0 ID264,SM,S1C,703.5,1,264.4,1,Ion [264.400549/264.400549],5.53,5913,1287,1
SM 18:1/16:0 ID264,SM,S2C,703.5,1,264.4,1,Ion [264.400549/264.400549],5.52,4734,1185,1
SM 18:1/16:0 ID264,SM,S3C,703.5,1,264.4,1,Ion [264.400549/264.400549],5.57,5721,1357,1
SM 18:1/16:0 ID264,SM,S4C,703.5,1,264.4,1,Ion [264.400549/264.400549],5.52,5613,1270,1
SM 18:1/16:0 ID264,SM,S5C,703.5,1,264.4,1,Ion [264.400549/264.400549],5.54,5698,1125,1
SM 18:1/16:0 ID264,SM,S6C,703.5,1,264.4,1,Ion [264.400549/264.400549],5.57,6616,1264,1
SM 18:1/16:0 ID264,SM,S7C,703.5,1,264.4,1,Ion [264.400549/264.400549],5.54,4668,1331,1
SM 18:1/16:0 ID264,SM,S8C,703.5,1,264.4,1,Ion [264.400549/264.400549],5.56,6018,1053,1
SM 18:1/16:0 ID264,SM,S9C,703.5,1,264.4,1,Ion [264.400549/264.400549],5.54,5214,899,1
SM 18:1/16:0 ID264,SM,S10C,703.5,1,264.4,1,Ion [264.400549/264.400549],5.58,5149,1067,1
SM 18:1/16:0 ID264,SM,S11C,703.5,1,264.4,1,Ion [264.400549/264.400549],5.55,5796,1509,1
SM 18:1/16:0 ID264,SM,S1D,703.5,1,264.4,1,Ion [264.400549/264.400549],5.53,3935,853,1
SM 18:1/16:0 ID264,SM,S2D,703.5,1,264.4,1,Ion [264.400549/264.400549],5.56,4457,1180,1
SM 18:1/16:0 ID264,SM,S3D,703.5,1,264.4,1,Ion [264.400549/264.400549],5.56,6457,985,1
SM 18:1/16:0 ID264,SM,S4D,703.5,1,264.4,1,Ion [264.400549/264.400549],5.53,5267,1248,1
SM 18:1/16:0 ID264,SM,S5D,703.5,1,264.4,1,Ion [264.400549/264.400549],5.55,6567,1008,1
SM 18:1/16:0 ID264,SM,S6D,703.5,1,264.4,1,Ion [264.400549/264.400549],5.57,4901,1571,1
SM 18:1/16:0 ID264,SM,S7D,703.5,1,264.4,1,Ion [264.400549/264.400549],5.54,5681,1269,1
SM 18:1/16:0 ID264,SM,S8D,703.5,1,264.4,1,Ion [264.400549/264.400549],5.52,5313,1130,1
SM 18:1/16:0 ID264,SM,S9D,703.5,1,264.4,1,Ion [264.400549/264.400549],5.54,4547,1162,1
SM 18:1/16:0 ID264,SM,S10D,703.5,1,264.4,1,Ion [264.400549/264.400549],5.53,4822,1458,1
SM 18:1/16:0 ID264,SM,S11D,703.5,1,264.4,1,Ion [264.400549/264.400549],5.54,3895,937,1
SM 18:1/16:0 ID264,SM,Blank_1,703.5,1,264.4,1,Ion [264.400549/264.400549],5.52,9,308,1
SM 18:1/16:0 ID264,SM,Blank_2,703.5,1,264.4,1,Ion [264.400549/264.400549],#N/A,#N/A,#N/A,#N/A
SM 18:1/16:0 ID264,SM,TQC_1,703.5,1,264.4,1,Ion [264.400549/264.400549],5.52,4320,1024,1
SM 18:1/16:0 ID264,SM,TQC_2,703.5,1,264.4,1,Ion [264.400549/264.400549],5.52,4650,1351,1
SM 18:1/16:0 ID264,SM,TQC_3,703.5,1,264.4,1,Ion [264.400549/264.400549],5.51,4968,1220,1
SM 18:1/16:0 ID264,SM,TQC_4,703.5,1,264.4,1,Ion [264.400549/264.400549],5.51,4822,1309,1
SM 18:1/16:0 ID264,SM,TQC_5,703.5,1,264.4,1,Ion [264.400549/264.400549],5.53,4589,1402,1
SM 18:1/16:0 ID264,SM,TQC_6,703.5,1,264.4,1,Ion [264.400549/264.400549],5.51,4711,1214,1
SM 18:1/16:0 ID264,SM,TQC_7,703.5,1,264.4,1,Ion [264.400549/264.400549],5.53,4915,1249,1
SM 18:1/16:0 ID264,SM,TQC_8,703.5,1,264.4,1,Ion [264.400549/264.400549],5.52,4806,1438,1
SM 18:1/16:0 ID264,SM,TQC_9,703.5,1,264.4,1,Ion [264.400549/264.400549],5.53,4934,1368,1
SM 18:1/16:0 ID264,SM,TQC_10,703.5,1,264.4,1,Ion [264.400549/264.400549],5.54,5001,1371,1
SM 18:1/16:0 ID264,SM,TQC_11,703.5,1,264.4,1,Ion [264.400549/264.400549],5.56,4512,1206,1
SM 18:1/16:0 ID264,SM,TQC_12,703.5,1,264.4,1,Ion [264.400549/264.400549],5.57,4820,1152,1
SM 18:1/16:1,SM,S1A,701.5,1,184.1,1,Ion [184.100549/184.100549],5.57,2498342,54912,1
SM 18:1/16:1,SM,S2A,701.5,1,184.1,1,Ion [184.100549/184.100549],5.56,2304585,53977,1
SM 18:1/16:1,SM,S3A,701.5,1,184.1,1,Ion [184.100549/184.100549],5.53,1628796,31873,1
SM 18:1/16:1,SM,S4A,701.5,1,184.1,1,Ion [184.100549/184.100549],5.53,2014445,39621,1
SM 18:1/16:1,SM,S5A,701.5,1,184.1,1,Ion [184.100549/184.100549],5.57,2230470,40527,1
SM 18:1/16:1,SM,S6A,701.5,1,184.1,1,Ion [184.100549/184.100549],5.58,2330603,44609,1
SM 18:1/16:1,SM,S7A,701.5,1,184.1,1,Ion [184.100549/184.100549],5.55,2167892,44821,1
SM 18:1/16:1,SM,S8A,701.5,1,184.1,1,Ion [184.100549/184.100549],5.57,2091262,48101,1
SM 18:1/16:1,SM,S9A,701.5,1,184.1,1,Ion [184.100549/184.100549],5.56,2203103,85896,1
SM 18:1/16:1,SM,S10A,701.5,1,184.1,1,Ion [184.100549/184.100549],5.55,2122017,43270,1
SM 18:1/16:1,SM,S11A,701.5,1,184.1,1,Ion [184.100549/184.100549],5.53,2088455,42040,1
