Peptide,Protein,Replicate,Precursor Mz,Precursor Charge,Product Mz,Product Charge,Fragment Ion,Retention Time,Area,Background,Peak Rank
PE 32:2,PE,S6D,688.5,1,547.5,1,Ion [547.500549/547.500549],4.01,1921,923,1
PE 32:2,PE,S7D,688.5,1,547.5,1,Ion [547.500549/547.500549],3.98,1287,480,1
PE 32:2,PE,S8D,688.5,1,547.5,1,Ion [547.500549/547.500549],3.89,627,874,1
PE 32:2,PE,S9D,688.5,1,547.5,1,Ion [547.500549/547.500549],3.98,983,619,1
PE 32:2,PE,S10D,688.5,1,547.5,1,Ion [547.500549/547.500549],4,1130,550,1
PE 32:2,PE,S11D,688.5,1,547.5,1,Ion [547.500549/547.500549],3.98,2081,583,1
PE 32:2,PE,Blank_1,688.5,1,547.5,1,Ion [547.500549/547.500549],4.01,0,221,1
PE 32:2,PE,Blank_2,688.5,1,547.5,1,Ion [547.500549/547.500549],4.06,1,257,1
PE 32:2,PE,TQC_1,688.5,1,547.5,1,Ion [547.500549/547.500549],3.97,755,519,1
PE 32:2,PE,TQC_2,688.5,1,547.5,1,Ion [547.500549/547.500549],3.98,2206,718,1
PE 32:2,PE,TQC_3,688.5,1,547.5,1,Ion [547.500549/547.500549],3.98,2436,568,1
PE 32:2,PE,TQC_4,688.5,1,547.5,1,Ion [547.500549/547.500549],3.97,983,442,1
PE 32:2,PE,TQC_5,688.5,1,547.5,1,Ion [547.500549/547.500549],3.99,1845,610,1
PE 32:2,PE,TQC_6,688.5,1,547.5,1,Ion [547.500549/547.500549],3.97,2878,613,1
PE 32:2,PE,TQC_7,688.5,1,547.5,1,Ion [547.500549/547.500549],3.99,2494,773,1
PE 32:2,PE,TQC_8,688.5,1,547.5,1,Ion [547.500549/547.500549],3.98,1465,636,1
PE 32:2,PE,TQC_9,688.5,1,547.5,1,Ion [547.500549/547.500549],3.98,2389,653,1
PE 32:2,PE,TQC_10,688.5,1,547.5,1,Ion [547.500549/547.500549],3.98,1802,748,1
PE 32:2,PE,TQC_11,688.5,1,547.5,1,Ion [547.500549/547.500549],3.99,1434,529,1
PE 32:2,PE,TQC_12,688.5,1,547.5,1,Ion [547.500549/547.500549],4.01,2103,565,1
PE 34:1,PE,S1A,718.5,1,577.5,1,Ion [577.500549/577.500549],3.95,119262,3146,1
PE 34:1,PE,S2A,718.5,1,577.5,1,Ion [577.500549/577.500549],3.95,160307,3307,1
PE 34:1,PE,S3A,718.5,1,577.5,1,Ion [577.500549/577.500549],3.95,151440,4577,1
PE 34:1,PE,S4A,718.5,1,577.5,1,Ion [577.500549/577.500549],3.95,237403,5610,1
PE 34:1,PE,S5A,718.5,1,577.5,1,Ion [577.500549/577.500549],3.95,170406,3354,1
PE 34:1,PE,S6A,718.5,1,577.5,1,Ion [577.500549/577.500549],3.95,250896,4537,1
PE 34:1,PE,S7A,718.5,1,577.5,1,Ion [577.500549/577.500549],3.95,187078,2938,1
PE 34:1,PE,S8A,718.5,1,577.5,1,Ion [577.500549/577.500549],3.96,132692,3366,1
PE 34:1,PE,S9A,718.5,1,577.5,1,Ion [577.500549/577.500549],3.95,299280,4917,1
PE 34:1,PE,S10A,718.5,1,577.5,1,Ion [577.500549/577.500549],3.95,371385,7437,1
PE 34:1,PE,S11A,718.5,1,577.5,1,Ion [577.500549/577.500549],3.94,299284,5724,1
PE 34:1,PE,S1B,718.5,1,577.5,1,Ion [577.500549/577.500549],3.95,171017,1955,1
PE 34:1,PE,S2B,718.5,1,577.5,1,Ion [577.500549/577.500549],3.94,179147,2945,1
PE 34:1,PE,S3B,718.5,1,577.5,1,Ion [577.500549/577.500549],3.94,252282,6015,1
PE 34:1,PE,S4B,718.5,1,577.5,1,Ion [577.500549/577.500549],3.95,260609,4909,1
PE 34:1,PE,S5B,718.5,1,577.5,1,Ion [577.500549/577.500549],3.95,222094,2825,1
PE 34:1,PE,S6B,718.5,1,577.5,1,Ion [577.500549/577.500549],3.94,179798,3647,1
PE 34:1,PE,S7B,718.5,1,577.5,1,Ion [577.500549/577.500549],3.94,183581,4490,1
PE 34:1,PE,S8B,718.5,1,577.5,1,Ion [577.500549/577.500549],3.95,409211,5110,1
PE 34:1,PE,S9B,718.5,1,577.5,1,Ion [577.500549/577.500549],3.95,350526,6738,1
PE 34:1,PE,S10B,718.5,1,577.5,1,Ion [577.500549/577.500549],3.95,497671,3353,1
PE 34:1,PE,S11B,718.5,1,577.5,1,Ion [577.500549/577.500549],3.95,336603,3861,1
PE 34:1,PE,S1C,718.5,1,577.5,1,Ion [577.500549/577.500549],3.95,82823,1737,1
PE 34:1,PE,S2C,718.5,1,577.5,1,Ion [577.500549/577.500549],3.95,111378,2686,1
PE 34:1,PE,S3C,718.5,1,577.5,1,Ion [577.500549/577.500549],3.96,89992,1666,1
PE 34:1,PE,S4C,718.5,1,577.5,1,Ion [577.500549/577.500549],3.95,101969,2260,1
PE 34:1,PE,S5C,718.5,1,577.5,1,Ion [577.500549/577.500549],3.95,81575,2630,1
PE 34:1,PE,S6C,718.5,1,577.5,1,Ion [577.500549/577.500549],3.95,102342,1370,1
PE 34:1,PE,S7C,718.5,1,577.5,1,Ion [577.500549/577.500549],3.95,101934,1466,1
PE 34:1,PE,S8C,718.5,1,577.5,1,Ion [577.500549/577.500549],3.95,100218,2156,1
PE 34:1,PE,S9C,718.5,1,577.5,1,Ion [577.500549/577.500549],3.95,115325,1052,1
PE 34:1,PE,S10C,718.5,1,577.5,1,Ion [577.500549/577.500549],3.96,129287,3693,1
PE 34:1,PE,S11C,718.5,1,577.5,1,Ion [577.500549/577.500549],3.95,149276,2443,1
PE 34:1,PE,S1D,718.5,1,577.5,1,Ion [577.500549/577.500549],3.95,95914,1557,1
PE 34:1,PE,S2D,718.5,1,577.5,1,Ion [577.500549/577.500549],3.95,163749,2392,1
PE 34:1,PE,S3D,718.5,1,577.5,1,Ion [577.500549/577.500549],3.94,159312,1184,1
PE 34:1,PE,S4D,718.5,1,577.5,1,Ion [577.500549/577.500549],3.95,123326,1836,1
PE 34:1,PE,S5D,718.5,1,577.5,1,Ion [577.500549/577.500549],3.95,125497,1544,1
PE 34:1,PE,S6D,718.5,1,577.5,1,Ion [577.500549/577.500549],3.95,119581,1713,1
PE 34:1,PE,S7D,718.5,1,577.5,1,Ion [577.500549/577.500549],3.95,143748,2847,1
PE 34:1,PE,S8D,718.5,1,577.5,1,Ion [577.500549/577.500549],3.95,80484,998,1
PE 34:1,PE,S9D,718.5,1,577.5,1,Ion [577.500549/577.500549],3.95,128073,2515,1
PE 34:1,PE,S10D,718.5,1,577.5,1,Ion [577.500549/577.500549],3.94,132290,2944,1
PE 34:1,PE,S11D,718.5,1,577.5,1,Ion [577.500549/577.500549],3.95,155749,3076,1
PE 34:1,PE,Blank_1,718.5,1,577.5,1,Ion [577.500549/577.500549],4.12,0,331,1
PE 34:1,PE,Blank_2,718.5,1,577.5,1,Ion [577.500549/577.500549],4.04,1,221,1
PE 34:1,PE,TQC_1,718.5,1,577.5,1,Ion [577.500549/577.500549],3.94,175336,1001,1
PE 34:1,PE,TQC_2,718.5,1,577.5,1,Ion [577.500549/577.500549],3.94,160041,1162,1
PE 34:1,PE,TQC_3,718.5,1,577.5,1,Ion [577.500549/577.500549],3.94,145836,4657,1
PE 34:1,PE,TQC_4,718.5,1,577.5,1,Ion [577.500549/577.500549],3.94,149014,2758,1
PE 34:1,PE,TQC_5,718.5,1,577.5,1,Ion [577.500549/577.500549],3.94,143375,1677,1
PE 34:1,PE,TQC_6,718.5,1,577.5,1,Ion [577.500549/577.500549],3.95,153687,3323,1
PE 34:1,PE,TQC_7,718.5,1,577.5,1,Ion [577.500549/577.500549],3.95,181767,5676,1
PE 34:1,PE,TQC_8,718.5,1,577.5,1,Ion [577.500549/577.500549],3.95,171089,1590,1
PE 34:1,PE,TQC_9,718.5,1,577.5,1,Ion [577.500549/577.500549],3.95,169558,2022,1
PE 34:1,PE,TQC_10,718.5,1,577.5,1,Ion [577.500549/577.500549],3.95,160829,3303,1
PE 34:1,PE,TQC_11,718.5,1,577.5,1,Ion [577.500549/577.500549],3.95,159982,3410,1
PE 34:1,PE,TQC_12,718.5,1,577.5,1,Ion [577.500549/577.500549],3.95,163079,1993,1
PE 34:1 NEG,PE,S1A,716.5,1,196,1,Ion [196.000549/196.000549],3.94,2002,613,1
PE 34:1 NEG,PE,S2A,716.5,1,196,1,Ion [196.000549/196.000549],3.96,2881,601,1
PE 34:1 NEG,PE,S3A,716.5,1,196,1,Ion [196.000549/196.000549],3.93,1167,790,1
PE 34:1 NEG,PE,S4A,716.5,1,196,1,Ion [196.000549/196.000549],3.94,4272,622,1
PE 34:1 NEG,PE,S5A,716.5,1,196,1,Ion [196.000549/196.000549],3.96,2606,654,1
PE 34:1 NEG,PE,S6A,716.5,1,196,1,Ion [196.000549/196.000549],3.97,5649,686,1
PE 34:1 NEG,PE,S7A,716.5,1,196,1,Ion [196.000549/196.000549],3.96,1850,547,1
PE 34:1 NEG,PE,S8A,716.5,1,196,1,Ion [196.000549/196.000549],3.94,3108,508,1
PE 34:1 NEG,PE,S9A,716.5,1,196,1,Ion [196.000549/196.000549],3.94,3709,612,1
PE 34:1 NEG,PE,S10A,716.5,1,196,1,Ion [196.000549/196.000549],3.96,4286,615,1
PE 34:1 NEG,PE,S11A,716.5,1,196,1,Ion [196.000549/196.000549],3.93,5225,658,1
PE 34:1 NEG,PE,S1B,716.5,1,196,1,Ion [196.000549/196.000549],3.96,2580,619,1
PE 34:1 NEG,PE,S2B,716.5,1,196,1,Ion [196.000549/196.000549],3.94,2240,623,1
PE 34:1 NEG,PE,S3B,716.5,1,196,1,Ion [196.000549/196.000549],3.94,5614,583,1
PE 34:1 NEG,PE,S4B,716.5,1,196,1,Ion [196.000549/196.000549],3.93,3488,790,1
PE 34:1 NEG,PE,S5B,716.5,1,196,1,Ion [196.000549/196.000549],3.94,2592,797,1
PE 34:1 NEG,PE,S6B,716.5,1,196,1,Ion [196.000549/196.000549],3.94,4021,701,1
PE 34:1 NEG,PE,S7B,716.5,1,196,1,Ion [196.000549/196.000549],3.93,2601,513,1
PE 34:1 NEG,PE,S8B,716.5,1,196,1,Ion [196.000549/196.000549],3.94,6779,544,1
PE 34:1 NEG,PE,S9B,716.5,1,196,1,Ion [196.000549/196.000549],3.94,7092,783,1
PE 34:1 NEG,PE,S10B,716.5,1,196,1,Ion [196.000549/196.000549],3.96,8308,874,1
PE 34:1 NEG,PE,S11B,716.5,1,196,1,Ion [196.000549/196.000549],3.94,6623,730,1
PE 34:1 NEG,PE,S1C,716.5,1,196,1,Ion [196.000549/196.000549],3.96,1224,662,1
PE 34:1 NEG,PE,S2C,716.5,1,196,1,Ion [196.000549/196.000549],3.97,1022,695,1
PE 34:1 NEG,PE,S3C,716.5,1,196,1,Ion [196.000549/196.000549],3.96,2668,619,1
PE 34:1 NEG,PE,S4C,716.5,1,196,1,Ion [196.000549/196.000549],3.94,1270,554,1
PE 34:1 NEG,PE,S5C,716.5,1,196,1,Ion [196.000549/196.000549],3.96,1945,549,1
PE 34:1 NEG,PE,S6C,716.5,1,196,1,Ion [196.000549/196.000549],3.96,1664,546,1
PE 34:1 NEG,PE,S7C,716.5,1,196,1,Ion [196.000549/196.000549],3.96,1916,584,1
PE 34:1 NEG,PE,S8C,716.5,1,196,1,Ion [196.000549/196.000549],3.94,1183,511,1
PE 34:1 NEG,PE,S9C,716.5,1,196,1,Ion [196.000549/196.000549],3.96,1552,581,1
PE 34:1 NEG,PE,S10C,716.5,1,196,1,Ion [196.000549/196.000549],3.96,3142,580,1
