lipids,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20
TG 18:2/20:0/20:1,16.47673391,17.56482382,18.62443729,17.51267904,17.86648056,17.94914383,17.26100893,18.11260836,17.7631146,17.69974678,18.5054694,16.95473623,17.92854144,18.29547262,17.82893516,16.71149004,17.07907282,20.42950373,15.93509573,18.1078041
TG 18:0/18:1/22:3,15.08262214,14.56639141,15.29039697,15.56204288,15.04536436,15.46546846,15.84089915,14.53260796,15.04667611,14.44301845,15.18199025,14.94478918,15.89749627,15.79230136,15.37968467,15.1886451,14.95550548,19.66047824,16.10878449,15.99039329
TG 18:1/18:2/22:1,15.06726762,14.43637862,15.54941646,15.76892854,14.97741101,15.16052716,15.99239549,14.91398307,15.26646736,14.47728428,15.08837539,14.89098292,15.98760521,15.88414522,15.09217491,15.35283417,14.70226359,19.89494309,15.48961862,16.01560981
TG 18:0/18:2/22:2,16.64414067,17.32679991,18.19044246,17.96512888,17.69257633,17.83757447,17.74290369,17.56598869,18.00628683,17.23599571,18.12339125,17.17751337,17.92912722,18.42157545,17.52866016,16.79950715,17.32674939,20.37256471,16.61799796,17.71678131
TG 18:0/20:1/20:3,16.47918383,17.41260571,18.20632727,17.99503584,17.58136486,17.82378642,17.77161652,17.63502709,17.96742168,17.20912764,18.04789338,17.08348137,17.94569737,18.32829838,17.19825727,16.76633423,17.14349858,20.58453629,16.29565372,17.59510262
TG 18:1/20:1/20:2,13.19707451,13.43909223,13.83660646,13.88348364,13.66367716,14.08871934,13.83331373,13.32835159,13.95747819,13.49757069,15.16736851,13.91050473,14.78373668,14.51962849,15.53024255,13.46787028,14.56297728,14.21151169,14.60716291,14.13922678
TG 18:1/20:1/20:3,17.70149689,17.88238892,18.52155083,18.08157011,18.05614808,18.12091745,17.9135374,17.55204841,18.92064132,17.94083104,17.72423171,18.17097856,18.50429587,19.46790257,18.17131348,17.15893305,18.80497867,20.99068131,17.47775658,18.5842428
TG 18:2/18:2/22:1,17.70088033,17.92345124,18.5660226,18.13329386,18.08994132,18.13403368,17.95475742,17.58519532,18.96090197,17.92064983,17.7419144,18.16071733,18.54263326,19.45523012,18.09963779,17.15881315,18.73243777,21.00272935,17.39265521,18.5796799
TG 18:0/20:3/20:3,13.07971386,14.29355445,14.59013113,14.28689479,13.6692007,13.3754796,12.65788107,13.16813144,14.41135847,13.39266973,13.66707153,13.83187583,14.11285491,15.21619045,14.35326841,12.51636774,13.96442377,13.75077403,12.74285477,13.40690657
TG 18:0/18:1/22:5,14.81685645,14.17347624,14.73878079,14.47769349,14.43688924,14.38106772,14.64978747,13.13297621,14.37084905,13.13547461,13.49467918,14.46844748,14.88405659,15.58750016,15.78127108,14.01848279,16.02683807,18.5754127,15.99992172,15.5813903
TG 18:1/18:1/22:4,17.98775143,17.51503351,18.478635,18.2449749,17.90402733,18.09478887,18.18547705,17.53187742,18.79101843,17.40532679,17.35390295,18.22265863,18.55583666,18.98024664,17.95068971,17.33957971,18.63842517,22.95561993,17.68890228,18.84803453
TG 16:0/20:4/22:3,14.70755494,15.44731975,15.81644448,15.32197323,15.26389026,15.03322856,14.98388338,14.70226359,15.70991495,13.99042614,14.45470315,14.36360834,14.66587894,15.91683982,15.29922197,14.284945,15.15257875,19.42734736,15.42389881,15.43766921
TG 18:2/20:2/20:3,13.44379605,14.49915962,15.1155763,14.95047122,14.07690029,14.37709411,14.27254833,13.92119376,14.41165271,13.5375536,13.89990708,13.62076326,14.30394187,15.09308431,14.37110346,13.52802397,13.95224854,17.67110311,14.80243198,14.16312371
TG 18:0/18:1/22:6,13.0480234,12.44510052,12.56317254,13.26777351,12.44191118,13.2316102,13.26169784,12.60480143,13.02152696,12.31920639,12.64175548,12.87798643,13.53051992,13.61205978,12.49813199,12.50229926,12.78477388,19.12695074,13.18163383,13.15457975
TG 18:1/18:2/22:4,17.98727556,17.09611321,17.62672321,17.60246896,17.15599792,17.65004916,17.66324223,16.42264937,18.604089,17.48395381,17.59930425,18.13044787,17.7385023,18.13181188,18.28038375,16.71917068,18.75228787,23.11838843,17.97624762,19.02739134
TG 18:1/20:3/20:4,16.3613784,16.19604279,17.78583821,15.76378515,17.40342813,17.26819898,16.27424822,17.22073325,16.84614203,16.87286596,16.65589118,16.26356519,17.2742915,18.36558069,16.74621009,17.09091984,16.89856053,23.13012704,15.74978726,18.05008012
TG 18:1/18:2/22:5,18.0866787,16.86071517,17.62802056,18.50808581,16.81492764,17.58918439,16.83879548,17.64177376,18.53395698,17.4515813,18.32495956,17.16675421,17.54340071,18.49272283,17.22849056,16.50507513,17.48102352,21.67558455,18.01074486,18.22414762
